"latitude","longitude","year","month","country","basisOfRecord","latitude_moved","longitude_moved","Crete_seaway","Crete_geodesic","GulfofPiran_seaway","GulfofPiran_geodesic","RavennaM_seaway","RavennaM_geodesic"
43.42472,3.7,2019,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.12901,3.12931,2019,5,"France","HUMAN_OBSERVATION",43.05,3.15000000000001,2153.90064440429,2074.95073353114,2344.43303704576,874.846302572164,2311.54333772684,756.698315018338
42.47805,3.16149,2019,5,"France","HUMAN_OBSERVATION",42.45,3.25,2127.72407637521,2048.53233152796,2318.25646901668,894.362942093267,2285.36676969776,768.887338810551
43.42972,3.6725,2019,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
42.47805,3.16149,2019,5,"France","HUMAN_OBSERVATION",42.45,3.25,2127.72407637521,2048.53233152796,2318.25646901668,894.362942093267,2285.36676969776,768.887338810551
43.42472,3.7,2019,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
37.118288,-7.620967,2019,6,"Portugal","HUMAN_OBSERVATION",37.15,-7.54999999999998,3067.77067896013,2930.28151277257,3299.38449990696,1988.61908576485,3266.49480058803,1858.17820971507
43.42472,3.7,2019,6,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
44.67726,-1.14991,2019,7,"France","HUMAN_OBSERVATION",44.75,-1.14999999999998,4565.0402589558,2459.7997496024,4796.65407990263,1159.21094375055,4763.76438058371,1071.10101797361
40.64895,-8.648522,2019,9,"Portugal","HUMAN_OBSERVATION",40.65,-8.75,3595.31521705577,3014.77008565264,3826.92903800259,1888.98767448953,3794.03933868367,1778.2119896715
42.47861,3.14917,2019,9,"France","HUMAN_OBSERVATION",42.55,3.15000000000001,2138.8669919853,2059.41413165524,2329.39938462676,896.994344170407,2296.50968530784,772.9437929612
42.47433,3.1567,2019,9,"France","HUMAN_OBSERVATION",42.45,3.25,2127.72407637521,2048.53233152796,2318.25646901668,894.362942093267,2285.36676969776,768.887338810551
43.42472,3.7,2019,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
42.47805,3.16149,2019,9,"France","HUMAN_OBSERVATION",42.45,3.25,2127.72407637521,2048.53233152796,2318.25646901668,894.362942093267,2285.36676969776,768.887338810551
43.42472,3.7,2019,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
42.47635,3.15694,2019,9,"France","HUMAN_OBSERVATION",42.45,3.25,2127.72407637521,2048.53233152796,2318.25646901668,894.362942093267,2285.36676969776,768.887338810551
42.05008,3.22426,2019,10,"Spain","HUMAN_OBSERVATION",NA,NA,2116.30286983669,2039.26098262881,2306.83526247816,916.523289287846,2273.94556315924,787.067102335562
43.42472,3.7,2019,10,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2019,12,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
36.013699,-5.584059,2018,1,"Spain","HUMAN_OBSERVATION",35.95,-5.54999999999998,2842.25832958371,2768.41103626719,3073.87215053054,1925.35703037732,3040.98245121162,1786.70294579394
43.42472,3.7,2018,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,3,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.43958,3.66769,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.43156,3.63451,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42128,3.60545,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.4064,6.77364,2018,4,"France","HUMAN_OBSERVATION",43.35,6.75,1904.44999285521,1811.42465812027,2094.98238549668,593.622792618298,2062.09268617775,466.105757897807
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.44347,3.67174,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,4,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,6,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,6,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,7,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
42.4611,3.16021,2018,7,"France","HUMAN_OBSERVATION",42.45,3.25,2127.72407637521,2048.53233152796,2318.25646901668,894.362942093267,2285.36676969776,768.887338810551
43.65601,-1.43762,2018,7,"France","HUMAN_OBSERVATION",43.65,-1.54999999999998,4509.42686827432,2460.27147852044,4741.04068922114,1216.4634143932,4708.15098990222,1116.11611644236
43.42472,3.7,2018,7,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
44.69716,-1.22856,2018,7,"France","HUMAN_OBSERVATION",44.75,-1.25,4557.12136372886,2467.414758471,4788.73518467568,1167.02279974115,4755.84548535676,1079.00904842777
43.42472,3.7,2018,8,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,8,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,8,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.27058,3.51475,2018,8,"France","HUMAN_OBSERVATION",NA,NA,2127.64314375329,2054.03406732596,2318.17553639476,838.299701436091,2285.28583707583,721.910454815581
43.42472,3.7,2018,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.65601,-1.43762,2018,9,"France","HUMAN_OBSERVATION",43.65,-1.54999999999998,4509.42686827432,2460.27147852044,4741.04068922114,1216.4634143932,4708.15098990222,1116.11611644236
43.42472,3.7,2018,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,9,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,10,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,10,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,10,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,10,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,10,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
39.740706,3.215654,2018,11,"Spain","HUMAN_OBSERVATION",NA,NA,2065.92076603407,1992.24767539517,2256.45315867553,1062.98936242275,2223.56345935661,918.139949285159
43.42472,3.7,2018,11,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,11,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2018,11,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
49.48892,0.11775,2017,1,"France","HUMAN_OBSERVATION",NA,NA,4974.6437971284,2569.62858000961,5206.25761807523,1103.21696424576,5173.3679187563,1084.46500388454
43.42472,3.7,2017,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2017,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2017,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2017,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.24932,3.49883,2017,6,"France","HUMAN_OBSERVATION",NA,NA,2135.76410333495,2054.53227563502,2326.29649597642,840.34889681858,2293.40679665749,723.721587832406
43.42472,3.7,2017,6,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2017,7,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
36.742475,-6.43452,2017,9,"Spain","HUMAN_OBSERVATION",NA,NA,2967.8490108176,2836.40259255129,3199.46283176442,1933.94835203789,3166.5731324455,1799.69810062676
36.742475,-6.43452,2017,9,"Spain","HUMAN_OBSERVATION",NA,NA,2967.8490108176,2836.40259255129,3199.46283176442,1933.94835203789,3166.5731324455,1799.69810062676
43.42472,3.7,2017,10,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
43.42472,3.7,2017,11,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
40.647599,-8.654172,2016,6,"Portugal","HUMAN_OBSERVATION",40.65,-8.75,3595.31521705577,3014.77008565264,3826.92903800259,1888.98767448953,3794.03933868367,1778.2119896715
43.424687,3.699389,2016,6,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
40.647599,-8.654172,2016,6,"Portugal","HUMAN_OBSERVATION",40.65,-8.75,3595.31521705577,3014.77008565264,3826.92903800259,1888.98767448953,3794.03933868367,1778.2119896715
43.698059,-7.868271,2016,10,"Spain","HUMAN_OBSERVATION",43.75,-7.84999999999999,3998.53985849294,2962.29501167752,4230.15367943976,1705.5745700854,4197.26398012084,1615.19680157667
40.812344,0.707101,2015,1,"Spain","HUMAN_OBSERVATION",40.85,0.850000000000023,2300.61607093276,2208.15939846568,2491.14846357423,1154.8658780861,2458.2587642553,1023.13921540642
40.812344,0.707101,2015,1,"Spain","HUMAN_OBSERVATION",40.85,0.850000000000023,2300.61607093276,2208.15939846568,2491.14846357423,1154.8658780861,2458.2587642553,1023.13921540642
40.302455,-3.441925,2015,2,"Spain","HUMAN_OBSERVATION",39.55,-0.25,2362.49865656352,2286.32930737112,2553.03104920499,1311.94376857442,2520.14134988607,1175.47108342614
43.43958,3.66769,2015,5,"France","HUMAN_OBSERVATION",43.35,3.65000000000001,2122.81443647232,2046.38153189881,2313.34682911379,824.923608272609,2280.45712979486,709.211801674418
49.68508,-1.67374,2015,10,"France","HUMAN_OBSERVATION",49.75,-1.64999999999998,4833.44106088411,2696.48401589848,5065.05488183093,1233.76627657286,5032.16518251201,1212.46843475758
50.794717,0.330601,2014,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",NA,NA,5013.39016818058,2628.46655179771,5245.0039891274,1143.8219008706,5212.11428980848,1143.85880299041
47.70109,-3.43042,2014,8,"France","HUMAN_OBSERVATION",47.65,-3.44999999999999,4546.2023757098,2727.6328881484,4777.81619665663,1322.79075641853,4744.9264973377,1270.91587812755
51.39605,0.56231,2014,8,"United Kingdom of Great Britain and Northern Ireland","HUMAN_OBSERVATION",51.45,0.75,5181.05818691375,2642.41295729871,5412.67200786058,1151.86506994619,5379.78230854165,1162.23575161458
