"Longitude","Latitude","Year","Month","Country"
-1.399476,50.874004,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-2.450041,50.606696,2014,9,"United Kingdom of Great Britain and Northern Ireland"
-1.097376,50.841484,2014,9,"United Kingdom of Great Britain and Northern Ireland"
3.66769,43.43958,2013,4,"France"
-0.518417,38.301792,2013,4,"Spain"
3.66265,43.4465,2013,4,"France"
3.7,43.42472,2013,4,"France"
1.18253,46.12689,2013,4,"France"
-5.441912,36.088523,2013,12,"Spain"
-5.441864,36.088415,2013,12,"Spain"
-0.807857,37.658699,2012,2,"Spain"
0.562998,51.39615,2012,3,"United Kingdom of Great Britain and Northern Ireland"
2.242603,41.434675,2012,3,"Spain"
2.242603,41.434675,2012,3,"Spain"
-5.435346,43.481366,2012,4,"Spain"
-3.955932,36.726609,2011,4,"Spain"
0.852357,40.938817,2011,4,"Spain"
-1.611191,37.387899,2011,7,"Spain"
-8.813571,42.515308,2011,7,"Spain"
-8.813571,42.515308,2011,7,"Spain"
-8.813571,42.515308,2011,7,"Spain"
-0.44214,38.362777,2011,8,"Spain"
-0.44214,38.362777,2011,8,"Spain"
0.515696,40.526568,2011,11,"Spain"
-15.723984,27.883697,2011,12,"Spain"
2.169919,41.387917,2010,7,"Spain"
2.169919,41.387917,2010,7,"Spain"
2.169919,41.387917,2010,7,"Spain"
-8.018066,37.02546,2008,7,"Portugal"
-8.018066,37.02546,2008,7,"Portugal"
24.333611,40.835278,1998,8,"Greece"
4.11,51.99,1995,3,"Netherlands"
5.324,53.417,1984,1,"Netherlands"
5.324,53.417,1984,1,"Netherlands"
5.324,53.417,1984,1,"Netherlands"
4.4,52.22,1982,11,"Netherlands"
4.438,52.259,1981,2,"Netherlands"
4.38,52.2,1981,11,"Netherlands"
3.55,51.44,1970,12,"Netherlands"
4.58,52.49,1964,10,"Netherlands"
3.55,51.44,1961,4,"Netherlands"
-4.913972,51.771858,1960,6,"United Kingdom of Great Britain and Northern Ireland"
4.57,52.48,1958,1,"Netherlands"
4.57,52.48,1958,1,"Netherlands"
4.438,52.259,1955,10,"Netherlands"
4.27,52.11,1955,10,"Netherlands"
-4.199608,51.058968,NA,NA,"United Kingdom of Great Britain and Northern Ireland"
-4.19084,51.054636,NA,NA,"United Kingdom of Great Britain and Northern Ireland"
-7.620967,37.118288,NA,NA,"Portugal"
0.559522,51.397297,2023,6,"United Kingdom of Great Britain and Northern Ireland"
0.559522,51.397297,2023,6,"United Kingdom of Great Britain and Northern Ireland"
0.559522,51.397297,2023,6,"United Kingdom of Great Britain and Northern Ireland"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-7.933662,39.675293,2016,4,"Portugal"
-4.121266,50.358933,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-4.121266,50.358933,2011,3,"United Kingdom of Great Britain and Northern Ireland"
-4.132758,50.369445,2010,2,"United Kingdom of Great Britain and Northern Ireland"
-4.132758,50.369445,2010,2,"United Kingdom of Great Britain and Northern Ireland"
-4.132758,50.369445,2010,11,"United Kingdom of Great Britain and Northern Ireland"
-4.132758,50.369445,2010,11,"United Kingdom of Great Britain and Northern Ireland"
-1.130133,60.151716,1988,1,"United Kingdom of Great Britain and Northern Ireland"
-1.408127,50.895028,1976,6,"United Kingdom of Great Britain and Northern Ireland"
-4.14137,50.363742,1974,1,"United Kingdom of Great Britain and Northern Ireland"
-4.14137,50.363742,1974,7,"United Kingdom of Great Britain and Northern Ireland"
-0.923023,50.795519,1958,1,"United Kingdom of Great Britain and Northern Ireland"
-1.018124,50.815046,1958,1,"United Kingdom of Great Britain and Northern Ireland"
-1.106293,50.79107,1958,1,"United Kingdom of Great Britain and Northern Ireland"
-4.110555,50.365556,1956,1,"United Kingdom of Great Britain and Northern Ireland"
-4.14137,50.363742,1956,1,"United Kingdom of Great Britain and Northern Ireland"
-4.110555,50.365556,1956,7,"United Kingdom of Great Britain and Northern Ireland"
-4.14137,50.363742,1956,7,"United Kingdom of Great Britain and Northern Ireland"
-4.110555,50.365556,1955,1,"United Kingdom of Great Britain and Northern Ireland"
-4.110555,50.365556,1955,7,"United Kingdom of Great Britain and Northern Ireland"
-4.145511,50.357161,1948,1,"United Kingdom of Great Britain and Northern Ireland"
-4.145511,50.357161,1948,7,"United Kingdom of Great Britain and Northern Ireland"
-0.281347,50.832727,1947,1,"United Kingdom of Great Britain and Northern Ireland"
-0.281347,50.832727,1947,7,"United Kingdom of Great Britain and Northern Ireland"
-0.243609,50.829998,1937,1,"United Kingdom of Great Britain and Northern Ireland"
25.136605,35.343153,NA,NA,"Greece"
25.136605,35.343153,NA,NA,"Greece"
